# Ghost Glove Flex Calibration — 50 mm tube
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.011,4715,6721,3956,6134
0.037,4550,6634,3634,6129
0.098,4697,6701,3747,6038
0.099,4709,6815,3805,6126
0.128,4571,6693,3834,6171
0.161,4655,6671,3440,6109
0.228,4825,6765,3785,6123
0.248,4663,6727,3879,6192
0.278,4672,6591,3749,6138
0.308,4764,6698,3798,6058
0.337,4684,6734,4018,6145
0.368,4529,6659,3826,6135
0.429,4681,6682,3535,6050
0.472,4697,6805,3774,6154
0.487,4580,6714,3716,6202
0.547,4683,6623,3572,6125
0.548,4837,6740,3767,6127
0.577,4672,6717,3914,6201
0.608,4659,6587,3706,6148
0.670,4748,6692,3733,6061
0.670,4701,6751,3934,6157
0.728,4518,6672,3739,6157
0.758,4676,6687,3569,6094
0.788,4772,6816,3786,6149
0.878,4611,6722,3783,6211
0.880,4678,6648,3574,6131
0.880,4838,6738,3739,6118
0.909,4651,6715,3965,6208
0.968,4592,6592,3735,6159
0.998,4674,6596,3680,6156
1.028,4772,6700,3750,6084
1.057,4702,6707,3966,6174
1.088,4548,6616,3799,6152
1.117,4686,6689,3654,6061
1.178,4699,6794,3822,6135
1.207,4576,6666,3797,6239
1.237,4659,6650,3567,6146
1.268,4844,6719,3718,6138
1.298,4660,6696,3895,6239
1.328,4663,6275,3717,6152
1.426,4780,6696,3759,6083
1.426,4694,6752,3975,6176
1.477,4527,6660,3791,6202
1.478,4682,6724,3594,6090
1.513,4686,6843,3790,6157
1.538,4624,6725,3786,6244
1.567,4672,6658,3558,6141
1.598,4827,6756,3757,6149
1.628,4684,6743,3948,6235
1.691,4631,6606,3724,6156
1.717,4749,6717,3758,6077
1.778,4702,6803,3918,6186
1.780,4542,6697,3796,6186
1.811,4684,6726,3566,6116
1.840,4745,6852,3818,6159
1.869,4632,6717,3771,6240
1.897,4671,6640,3620,6169
1.959,4868,6762,3770,6186
1.988,4682,6735,3988,6220
2.031,4594,6636,3759,6172
2.047,4720,6741,3735,6084
2.077,4725,6846,3922,6178
2.108,4498,6714,3788,6193
2.138,4674,6735,3609,6133
2.198,4782,6847,3808,6167
2.227,4657,6746,3791,6266
2.258,4672,6645,3669,6174
2.318,4834,6754,3770,6158
2.319,4702,6750,3961,6221
2.348,4563,6663,3781,6173
2.378,4722,6716,3712,6104
2.407,4704,6857,3900,6182
2.469,4552,6747,3783,6229
2.499,4678,6733,3575,6151
2.528,4822,6840,3794,6177
2.558,4669,6772,3855,6268
2.587,4674,6638,3669,6177
2.627,4820,6762,3772,6143
2.648,4698,6773,4007,6225
2.708,4547,6666,3790,6184
2.738,4705,6727,3744,6091
2.769,4697,6873,3842,6198
2.800,4587,6747,3779,6249
2.830,4674,6705,3563,6151
2.888,4835,6809,3765,6195
2.889,4656,6741,3851,6282
2.918,4680,6620,3696,6198
3.007,4788,6752,3729,6154
3.009,4873,6778,3767,6181
3.069,4700,6775,3970,6246
3.069,4608,6652,3759,6189
3.097,4728,6749,3762,6110
3.128,4712,6891,3929,6211
3.187,4531,6765,3794,6216
3.227,4660,6739,3608,6151
3.247,4805,6872,3799,6192
3.308,4663,6791,3805,6270
3.309,4703,6676,3673,6183
3.338,4831,6797,3775,6183
3.370,4723,6798,3992,6229
3.400,4552,6698,3773,6199
3.458,4723,6776,3744,6106
3.490,4694,6874,3849,6205
3.518,4563,6779,3771,6236
3.548,4702,6787,3555,6153
3.588,4840,6868,3767,6182
3.608,4670,6806,3841,6282
3.637,4675,6675,3686,6201
3.698,4810,6790,3772,6162
3.728,4703,6802,4002,6226
3.758,4575,6730,3788,6197
3.788,4708,6774,3705,6101
3.824,4715,6897,3861,6204
3.848,4587,6787,3819,6244
3.878,4699,6794,3581,6170
3.908,4831,6842,3778,6190
3.998,4683,6792,3908,6285
3.999,4675,6681,3736,6190
4.029,4800,6770,3783,6128
4.058,4690,6808,4016,6216
4.087,4552,6727,3799,6217
4.117,4700,6764,3663,6120
4.178,4691,6918,3831,6192
4.208,4604,6800,3805,6280
4.237,4681,6727,3568,6185
4.268,4857,6821,3766,6175
4.298,4703,6821,3924,6268
4.328,4676,6653,3740,6198
4.358,4773,6764,3775,6120
4.387,4694,6841,3993,6211
4.427,4541,6746,3791,6219
4.481,4681,6766,3614,6149
4.509,4741,6910,3820,6204
4.537,4650,6802,3841,6283
4.567,4667,6721,3611,6190
4.598,4856,6827,3791,6205
4.628,4684,6772,4013,6272
4.657,4615,6665,3759,6218
4.718,4743,6780,3759,6139
4.748,4685,6889,3941,6216
4.778,4523,6786,3811,6225
4.807,4693,6781,3609,6153
4.837,4775,6890,3806,6207
4.867,4639,6810,3828,6287
4.898,4650,6687,3651,6200
4.928,4871,6808,3783,6188
4.988,4693,6817,3964,6264
5.049,4692,6808,3964,6275
5.049,4675,6667,3729,6216
5.107,4773,6765,3775,6133
5.108,4700,6848,4003,6225
5.149,4548,6759,3820,6219
5.198,4693,6777,3636,6153
5.227,4724,6929,3839,6206
5.287,4619,6821,3820,6296
5.288,4687,6720,3599,6197
