# Ghost Glove Flex Calibration — Hand flat on table
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.015,5185,9284,4959,8455
0.045,5110,9302,5045,8485
0.074,5062,9210,4967,8470
0.104,5112,9264,4943,8412
0.134,5119,9323,5018,8464
0.163,5014,9286,4971,8480
0.194,5092,9281,4903,8432
0.253,5126,9344,4971,8461
0.293,5072,9303,4986,8518
0.313,5087,9255,4907,8465
0.375,5199,9278,4966,8453
0.375,5110,9320,5013,8516
0.404,5076,9233,4956,8470
0.465,5140,9296,4950,8428
0.465,5112,9309,5049,8478
0.525,5017,9283,4975,8487
0.553,5100,9329,4940,8419
0.584,5123,9386,4987,8472
0.614,5058,9345,4985,8509
0.645,5095,9328,4894,8453
0.675,5180,9362,4962,8460
0.704,5094,9347,4991,8529
0.813,5078,9281,4938,8474
0.813,5179,9336,4957,8456
0.827,5107,9350,5049,8494
0.854,5056,9293,4973,8479
0.883,5113,9321,4948,8414
0.914,5121,9348,5013,8469
0.945,5012,9317,4976,8488
0.976,5093,9314,4896,8444
1.035,5135,9374,4968,8475
1.065,5135,9337,4988,8469
1.094,5043,9301,4978,8495
1.124,5095,9309,4890,8454
1.155,5174,9362,4965,8464
1.184,5096,9334,4994,8533
1.244,5085,9265,4939,8484
1.274,5177,9310,4958,8458
1.306,5122,9322,5042,8503
1.335,5062,9292,4972,8479
1.394,5114,9321,4946,8421
1.394,5116,9362,5017,8472
1.431,5011,9281,4969,8488
1.455,5090,9289,4896,8448
1.515,5129,9336,4975,8460
1.545,5073,9289,4988,8529
1.575,5092,9246,4918,8474
1.604,5199,9301,4963,8461
1.633,5111,9294,5012,8514
1.665,5079,9243,4953,8482
1.695,5137,9240,4948,8432
1.753,5114,8921,5039,8489
1.783,5021,9306,4972,8489
1.815,5111,9308,4925,8433
1.874,5139,9368,4989,8473
1.874,5061,9308,4983,8509
1.905,5095,9298,4885,8464
1.935,5193,9324,4960,8468
1.966,5105,9306,4988,8536
2.032,5081,9251,4939,8483
2.055,5182,9298,4950,8451
2.084,5123,9311,5050,8495
2.115,5045,9269,4974,8486
2.174,5112,9255,4948,8422
2.174,5120,8906,5002,8477
2.204,5013,8833,4974,8495
2.263,5095,9308,4889,8454
2.294,5144,9373,4962,8476
2.324,5098,9329,4982,8540
2.360,5094,9308,4903,8481
2.384,5200,9345,4957,8467
2.413,5118,9349,5024,8515
2.444,5080,9294,4956,8483
2.504,5138,9339,4944,8426
2.534,5118,9349,5044,8487
2.563,5014,9327,4965,8496
2.593,5098,9331,4906,8445
2.623,5142,9371,4973,8479
2.653,5059,9328,4975,8521
2.683,5090,9297,4881,8470
2.714,5191,9320,4952,8470
2.774,5108,9311,4981,8540
2.803,5082,9245,4931,8486
2.834,5171,9248,4951,8447
2.874,5121,9281,5038,8494
2.893,5033,9224,4967,8492
2.923,5107,9246,4941,8425
2.953,5131,8997,4994,8479
2.985,5025,9019,4971,8497
3.045,5096,8996,4886,8469
3.076,5103,9106,4924,8445
3.105,5132,9171,4975,8481
3.133,5064,9105,4974,8521
3.163,5098,9125,4884,8475
3.194,5194,9155,4952,8475
3.253,5104,9146,4982,8543
3.284,5078,9078,4946,8489
3.314,5160,9064,4950,8454
3.343,5117,9083,5046,8496
3.374,5040,9043,4968,8497
3.403,5116,9046,4944,8428
3.464,5129,9074,5003,8482
3.464,5028,9055,4973,8500
3.524,5097,9358,4888,8464
3.553,5152,9440,4958,8479
3.614,5094,9395,4989,8547
3.614,5088,9356,4906,8490
3.644,5201,9385,4960,8474
3.674,5117,9397,5027,8521
3.705,5083,9325,4958,8494
3.764,5138,9344,4940,8432
3.794,5123,9364,5020,8490
3.829,5022,9324,4964,8504
3.853,5104,9341,4898,8457
3.883,5131,9407,4968,8487
3.944,5068,9362,4978,8535
3.944,5093,9350,4878,8482
4.007,5192,9362,4948,8479
4.033,5110,9349,4981,8540
4.063,5075,9307,4947,8493
4.094,5159,9338,4946,8466
4.124,5115,9356,5037,8503
4.155,5022,9344,4756,8501
4.190,5106,9363,4942,8430
4.244,5127,9394,4852,8489
4.274,5034,9355,4858,8503
4.306,5101,9349,4770,8477
4.334,5163,9337,4847,8482
4.363,5106,9419,4938,8550
4.393,5087,9375,4874,8493
4.425,5194,9417,4906,8478
4.455,5111,9426,4990,8514
4.515,5071,9385,4922,8498
4.543,5128,9423,4900,8446
4.575,5123,9453,4973,8489
4.604,5017,9431,4920,8516
4.633,5099,9417,4854,8457
4.665,5135,9466,4929,8489
4.725,5072,9420,4938,8542
4.725,5096,9407,4848,8490
4.784,5195,9432,4913,8480
4.814,5115,9422,4971,8534
4.846,5081,9359,4904,8498
4.875,5155,9397,4900,8449
4.904,5121,9392,4990,8505
4.940,5019,9355,4918,8508
4.963,5107,9364,4870,8439
5.032,5131,9331,4925,8492
5.054,5043,9306,4912,8532
5.083,5022,9130,4738,8510
5.113,5104,9288,4756,8458
5.144,5136,9218,4793,8493
5.174,5073,9214,4828,8542
5.204,5095,9222,4773,8484
5.264,5195,9142,4832,8489
5.294,5112,9408,4950,8541
5.324,5092,9323,4889,8499
5.354,5163,9349,4701,8466
5.384,5122,9369,4880,8508
5.413,5022,9335,4813,8508
5.452,5107,9242,4845,8437
5.504,5135,9494,4924,8501
5.534,5035,9453,4958,8522
5.564,5111,9440,4871,8485
5.594,5177,9482,4944,8490
5.630,5100,9457,4982,8557
5.655,5084,9412,4918,8503
5.685,5195,9453,4952,8485
5.715,5117,9466,5043,8526
5.777,5074,9412,4959,8511
5.834,5131,9450,4942,8444
5.834,5128,9485,5025,8505
5.864,5019,9450,4974,8516
5.896,5101,9448,4912,8464
5.924,5138,9511,4971,8497
5.972,5079,9464,4985,8547
6.015,5099,9447,4897,8504
6.045,5204,9477,4963,8495
6.075,5131,9473,5022,8539
6.106,5094,9418,4948,8506
6.164,5157,9462,4952,8468
6.164,5123,9479,5053,8513
6.196,5020,9441,4977,8512
6.228,5111,9460,4947,8443
6.284,5135,9508,4996,8507
6.345,5044,9459,4980,8535
6.345,5107,9453,4888,8494
6.374,5179,9493,4963,8493
6.404,5103,9466,4991,8562
6.434,5088,9419,4933,8508
6.464,5196,9464,4965,8489
6.554,5119,9476,5051,8535
6.554,5076,9425,4967,8517
6.584,5137,9459,4951,8442
6.614,5142,9488,5033,8503
6.643,5020,9455,4980,8518
6.675,5100,9436,4911,8471
6.705,5137,9491,4975,8501
6.736,5077,9450,4992,8560
6.794,5097,9432,4899,8507
6.830,5199,9470,4965,8491
6.857,5126,9451,5029,8539
6.884,5091,9391,4958,8508
6.914,5154,9408,4956,8467
6.945,5122,9424,5056,8513
7.010,5027,9377,4978,8518
7.063,5110,9323,4949,8457
7.065,5138,9398,4983,8504
7.095,5139,9173,5016,8512
7.125,5021,9082,4976,8520
7.153,5105,9123,4918,8469
7.183,5136,9208,4989,8502
7.246,5079,9157,4990,8552
7.276,5101,9072,4896,8503
7.304,5193,9165,4964,8492
7.335,5126,9192,5010,8555
7.431,5091,9066,4929,8511
7.431,5162,9177,4930,8475
7.431,5121,9237,5043,8516
7.529,5027,9188,4964,8519
7.529,5110,9237,4923,8447
7.544,5138,9289,4979,8505
7.604,5038,9216,4950,8522
7.605,5106,9213,4876,8488
7.633,5176,9229,4948,8500
7.665,5104,9257,4969,8564
7.695,5092,9178,4921,8512
7.755,5206,9257,4946,8495
7.785,5124,9222,5023,8535
7.815,5080,9221,4952,8515
7.845,5140,9245,4923,8450
7.904,5134,9276,5004,8511
7.904,5021,9224,4953,8524
7.966,5107,9234,4890,8475
7.966,5139,9296,4955,8506
8.054,5081,9251,4959,8563
8.054,5104,9216,4873,8510
8.083,5192,9279,4938,8496
8.115,5133,9310,4989,8549
8.144,5091,9257,4920,8513
8.174,5161,9334,4924,8475
8.204,5123,9310,5016,8522
