# Ghost Glove Flex Calibration — Fist
t_s,flex_ring,flex_middle,flex_index,flex_thumb
0.019,4623,6193,3420,5108
0.019,4597,6173,3550,5154
0.048,4482,6212,3455,5164
0.109,4575,6221,3387,5119
0.109,4613,6188,3467,5150
0.171,4546,6163,3464,5196
0.258,4570,6174,3265,5154
0.258,4690,6200,3353,5141
0.259,4601,6270,3419,5170
0.290,4565,6143,3413,5153
0.349,4617,6212,3376,5105
0.349,4612,6242,3508,5148
0.408,4492,6135,3367,5155
0.439,4581,6251,3273,5130
0.468,4633,6295,3362,5142
0.499,4592,6260,3316,5192
0.529,4578,6197,3298,5148
0.559,4693,6258,3362,5137
0.589,4600,6252,3486,5164
0.648,4536,6195,3384,5152
0.679,4598,6259,3347,5101
0.710,4606,6325,3476,5143
0.750,4504,6084,3464,5159
0.770,4581,6255,3358,5128
0.800,4664,6363,3460,5140
0.829,4580,6294,3487,5193
0.860,4565,6130,3408,5151
0.921,4665,6110,3454,5130
0.951,4598,6332,3584,5154
0.980,4493,6276,3466,5157
1.039,4591,6284,3423,5107
1.039,4610,6322,3502,5145
1.069,4520,6275,3468,5169
1.099,4577,6268,3200,5144
1.159,4683,6299,3376,5141
1.191,4588,6260,3424,5186
1.227,4557,6195,3377,5155
1.249,4633,6240,3367,5121
1.281,4599,6276,3501,5153
1.311,4494,6215,3392,5161
1.340,4576,6057,3352,5112
1.369,4612,6278,3416,5148
1.430,4545,6123,3407,5190
1.460,4568,6323,3301,5152
1.490,4687,6339,3366,5140
1.521,4606,6024,3467,5176
1.550,4563,6088,3365,5155
1.581,4559,6171,3323,5157
1.640,4663,6123,3366,5144
1.670,4596,6189,3480,5152
1.700,4517,6074,3382,5163
1.760,4597,6182,3354,5106
1.760,4612,6175,3423,5150
1.825,4525,6141,3393,5178
1.826,4577,6165,3271,5144
1.851,4682,6224,3380,5146
1.911,4589,6202,3470,5206
1.941,4563,6089,3434,5158
1.972,4645,6093,3438,5114
2.001,4599,6288,3572,5162
2.031,4493,6122,3470,5164
2.061,4579,6181,3413,5121
2.091,4613,5977,3488,5151
2.149,4544,6114,3478,5199
2.182,4573,6104,3344,5155
2.211,4692,6145,3452,5143
2.270,4605,6114,3520,5184
2.270,4566,6103,3433,5158
2.304,4630,6214,3435,5112
2.330,4605,6273,3558,5158
2.361,4493,6247,3465,5166
2.428,4576,6266,3373,5142
2.450,4617,6404,3471,5151
2.480,4579,6366,3485,5200
2.511,4570,6383,3370,5162
2.540,4690,6377,3441,5146
2.570,4597,6298,3553,5183
2.599,4548,6241,3438,5162
2.690,4606,6370,3402,5119
2.690,4606,6434,3504,5160
2.720,4507,6269,3432,5168
2.749,4583,6305,3304,5140
2.779,4645,6357,3360,5151
2.827,4579,6255,3402,5203
2.839,4561,6298,3311,5162
2.869,4682,6362,3385,5147
2.931,4595,6373,3550,5179
2.961,4510,6330,3429,5165
2.991,4590,6352,3432,5115
3.027,4609,6424,3511,5151
3.051,4512,6360,3464,5175
3.080,4578,6336,3347,5147
3.111,4676,6386,3449,5151
3.172,4585,6357,3476,5207
3.200,4562,6287,3330,5160
3.232,4655,6348,3446,5132
3.260,4603,6350,3560,5163
3.320,4495,6368,3384,5168
3.320,4584,6384,3420,5116
3.350,4614,6461,3470,5155
3.410,4543,6311,3371,5193
3.441,4577,6253,3233,5157
3.471,4679,6243,3351,5146
3.501,4607,6431,3419,5184
3.531,4561,6315,3389,5163
3.561,4624,6315,3384,5117
3.591,4674,6396,3392,5150
3.650,4593,6410,3508,5164
3.681,4506,6383,3418,5169
3.710,4591,6416,3380,5114
3.741,4621,6466,3499,5158
3.771,4507,6396,3487,5174
3.801,4580,6385,3365,5150
3.830,4680,6482,3466,5151
3.891,4594,6434,3491,5205
3.921,4562,6344,3429,5162
3.950,4645,6276,3441,5124
3.981,4604,6283,3567,5166
4.011,4493,6455,3459,5169
4.040,4586,6466,3419,5117
4.071,4610,6534,3425,5157
4.101,4540,6464,3416,5193
4.160,4575,6445,3254,5159
4.190,4681,6481,3456,5151
4.229,4588,6473,3503,5196
4.250,4569,6388,3417,5163
4.280,4625,6459,3332,5120
4.311,4603,6483,3500,5162
4.340,4491,6439,3361,5174
4.399,4579,6453,3393,5131
4.459,4608,6543,3484,5157
4.459,4553,6460,3488,5205
4.489,4571,6425,3380,5170
4.518,4690,6477,3450,5153
4.549,4599,6462,3550,5183
4.579,4554,6409,3441,5166
4.610,4608,6471,3399,5119
4.671,4604,6519,3542,5161
4.700,4480,6458,3471,5173
4.731,4566,6450,3354,5142
4.760,4664,6522,3457,5156
4.791,4576,6479,3342,5205
4.828,4564,6411,3391,5166
4.850,4678,6482,3441,5154
4.910,4596,6486,3459,5181
4.940,4525,6419,3357,5171
4.971,4593,6459,3338,5118
5.000,4615,6525,3433,5158
5.030,4502,6460,3415,5175
5.059,4575,6445,3249,5150
5.090,4669,6503,3448,5157
5.150,4582,6469,3470,5209
5.181,4558,6399,3398,5164
5.240,4656,6476,3424,5131
5.270,4596,6491,3535,5173
5.270,4500,6446,3410,5174
5.300,4586,6462,3386,5120
5.330,4614,6543,3450,5163
5.359,4533,6487,3423,5190
5.426,4577,6461,3296,5160
5.450,4684,6505,3405,5155
5.481,4592,6492,3449,5199
5.510,4568,6403,3383,5169
5.541,4632,6469,3390,5128
5.569,4601,6494,3519,5168
5.599,4598,6493,3511,5180
5.658,4527,6428,3409,5172
5.689,4602,6462,3434,5122
5.719,4619,6539,3510,5162
5.749,4511,6479,3484,5177
5.780,4578,6457,3366,5149
5.809,4673,6516,3471,5160
5.839,4587,6479,3500,5211
5.901,4564,6409,3417,5177
5.940,4654,6471,3461,5134
5.959,4612,6490,3590,5171
5.989,4505,6441,3481,5173
6.049,4580,6469,3452,5122
6.049,4613,6547,3521,5162
6.079,4531,6481,3494,5192
6.109,4575,6462,3367,5158
6.170,4678,6509,3475,5156
6.199,4593,6484,3541,5198
6.229,4573,6411,3460,5169
6.259,4632,6469,3458,5131
6.289,4599,6491,3591,5170
6.319,4499,6448,3482,5175
6.350,4578,6467,3420,5132
6.412,4610,6549,3505,5168
6.441,4548,6482,3502,5207
6.476,4584,6441,3382,5166
6.500,4696,6464,3473,5157
6.530,4595,6467,3549,5192
6.560,4566,6381,3451,5169
6.589,4618,6461,3401,5122
6.628,4604,6502,3522,5166
6.681,4490,6451,3456,5175
6.709,4577,6446,3368,5149
6.738,4649,6515,3484,5161
6.768,4563,6463,3504,5212
6.799,4569,6411,3399,5169
6.830,4687,6464,3475,5157
6.859,4595,6472,3579,5186
6.921,4534,6410,3471,5179
6.951,4597,6455,3457,5121
6.980,4627,6527,3536,5164
7.011,4503,6458,3486,5177
7.039,4580,6439,3376,5151
7.070,4651,6501,3477,5160
7.100,4579,6459,3503,5212
7.131,4564,6390,3425,5172
7.191,4667,6453,3468,5154
7.229,4597,6467,3584,5177
7.250,4496,6412,3482,5176
7.310,4589,6425,3454,5122
7.310,4612,6501,3527,5163
7.341,4519,6448,3487,5187
7.370,4581,6420,3349,5159
7.431,4682,6469,3383,5165
7.461,4590,6452,3460,5207
7.520,4575,6376,3391,5176
7.520,4647,6416,3411,5140
7.551,4599,6441,3543,5173
7.581,4496,6398,3433,5177
7.640,4544,6367,3406,5174
7.671,4604,6419,3398,5120
7.700,4616,6504,3534,5164
7.731,4512,6439,3491,5181
7.829,4581,6421,3381,5151
7.829,4658,6485,3487,5160
7.829,4584,6421,3506,5215
7.850,4568,6354,3421,5171
7.909,4677,6417,3471,5172
7.942,4602,6457,3588,5179
7.969,4520,6389,3489,5184
8.014,4598,6413,3455,5124
8.028,4618,6464,3531,5162
8.059,4525,6422,3494,5184
8.089,4583,6400,3374,5157
8.149,4682,6452,3475,5158
8.181,4593,6429,3511,5201
8.210,4567,6361,3444,5178
8.240,4640,6417,3465,5136
8.270,4606,6434,3599,5171
8.302,4498,6399,3489,5178
8.361,4585,6411,3444,5129
8.361,4616,6489,3514,5164
8.428,4551,6427,3503,5216
8.450,4581,6415,3379,5173
8.482,4694,6446,3485,5165
8.510,4609,6433,3565,5195
8.539,4569,6350,3460,5172
8.571,4634,6411,3460,5126
8.600,4609,6440,3584,5168
8.690,4509,6399,3492,5180
8.690,4586,6381,3413,5139
8.721,4617,6484,3504,5175
8.751,4577,6425,3508,5210
8.786,4577,6380,3390,5171
8.811,4700,6436,3480,5159
8.840,4604,6438,3577,5191
8.871,4560,6361,3467,5176
8.931,4614,6416,3458,5145
8.961,4609,6465,3568,5176
8.991,4498,6409,3494,5180
9.030,4592,6400,3380,5151
9.049,4644,6473,3489,5166
9.141,4579,6423,3509,5214
9.141,4570,6355,3414,5176
9.141,4686,6416,3478,5162
9.201,4601,6429,3597,5183
9.230,4529,6364,3484,5186
9.261,4597,6407,3457,5128
9.291,4618,6477,3539,5168
9.321,4510,6415,3491,5186
9.351,4584,6391,3368,5164
9.381,4677,6440,3467,5167
9.440,4588,6412,3336,5234
9.471,4566,6347,3354,5184
9.499,4660,6397,3406,5173
9.529,4610,6416,3518,5180
9.566,4502,6370,3427,5181
9.589,4589,6391,3390,5130
9.650,4615,6397,3455,5134
9.679,4610,6447,3563,5176
9.709,4494,6401,3484,5184
9.741,4591,6381,3372,5153
9.771,4645,6438,3483,5167
9.802,4579,6383,3501,5217
9.833,4569,6230,3402,5178
9.861,4685,6288,3461,5164
9.921,4602,6271,3567,5197
9.951,4525,6271,3471,5205
9.981,4598,6332,3446,5128
10.011,4616,6433,3525,5171
10.040,4514,6367,3476,5188
10.082,4582,6358,3362,5162
10.101,4673,6436,3464,5166
10.161,4591,6412,3489,5223
10.229,4569,6339,3413,5182
10.229,4667,6404,3438,5152
10.250,4610,6418,3507,5178
10.281,4501,6376,3442,5184
10.310,4590,6391,3454,5132
10.341,4616,6486,3521,5171
10.371,4541,6418,3496,5205
10.432,4579,6396,3371,5176
10.459,4687,6438,3482,5187
10.489,4611,6426,3523,5210
10.520,4570,6344,3449,5175
10.549,4634,6406,3456,5134
10.579,4608,6418,3582,5176
10.609,4493,6391,3479,5183
10.669,4580,6398,3351,5144
10.759,4611,6482,3451,5179
10.759,4566,6423,3467,5224
10.759,4574,6382,3347,5173
10.828,4691,6416,3449,5164
10.828,4607,6427,3532,5200
10.849,4565,6346,3441,5179
10.881,4618,6410,3465,5133
10.939,4611,6456,3576,5171
10.969,4491,6411,3499,5189
10.999,4589,6399,3391,5155
11.028,4636,6478,3501,5169
11.059,4575,6420,3516,5217
11.089,4570,6367,3417,5177
11.120,4692,6419,3482,5164
11.179,4601,6433,3592,5196
11.209,4533,6370,3485,5180
11.239,4620,6399,3465,5126
11.299,4625,6484,3546,5172
11.329,4514,6419,3499,5184
11.329,4583,6402,3388,5162
11.359,4670,6461,3489,5168
11.389,4588,6428,3515,5220
11.448,4570,6352,3439,5180
11.479,4660,6416,3475,5156
11.509,4613,6431,3600,5183
11.539,4504,6381,3492,5182
11.569,4584,6409,3465,5129
11.602,4619,6478,3526,5171
11.660,4611,6457,3561,5167
11.691,4492,6402,3481,5187
11.721,4581,6398,3366,5157
11.751,4649,6478,3367,5169
11.781,4576,6421,3513,5218
11.810,4570,6361,3425,5178
11.840,4689,6414,3484,5165
11.870,4602,6433,3596,5191
11.931,4529,6369,3502,5181
11.961,4606,6413,3469,5131
11.991,4620,6483,3543,5172
12.029,4509,6413,3503,5186
12.051,4579,6396,3385,5163
12.081,4677,6445,3486,5168
12.111,4587,6421,3504,5223
12.170,4564,6346,3400,5196
12.200,4658,6411,3463,5151
12.230,4594,6427,3587,5183
12.261,4504,6373,3482,5184
12.291,4590,6398,3428,5132
12.321,4617,6472,3488,5173
12.351,4542,6414,3509,5202
12.380,4578,6394,3380,5173
12.438,4688,6437,3498,5164
12.469,4603,6417,3546,5211
12.499,4576,6345,3471,5181
12.529,4633,6400,3472,5139
12.559,4603,6429,3602,5177
12.589,4491,6390,3499,5185
12.629,4581,6401,3429,5145
12.678,4611,6486,3513,5189
12.708,4561,6417,3526,5217
12.739,4574,6371,3399,5177
12.769,4703,6422,3488,5164
12.800,4605,6428,3575,5199
12.833,4566,6349,3479,5182
12.860,4620,6402,3464,5134
12.891,4615,6453,3579,5172
12.950,4491,6406,3506,5189
12.980,4579,6400,3386,5160
13.010,4665,6459,3487,5168
13.039,4580,6419,3513,5220
13.070,4569,6356,3418,5183
13.100,4686,6417,3473,5166
13.130,4602,6429,3573,5193
13.194,4531,6365,3472,5198
13.226,4596,6406,3397,5130
13.250,4612,6478,3542,5171
13.280,4522,6419,3502,5192
13.310,4585,6398,3385,5168
13.340,4675,6447,3483,5171
13.371,4588,6423,3511,5224
13.401,4566,6354,3429,5179
13.460,4661,6414,3479,5155
13.488,4605,6441,3596,5187
13.519,4504,6393,3483,5187
13.549,4587,6408,3448,5133
13.579,4622,6492,3517,5173
13.609,4542,6427,3487,5206
13.669,4500,6413,3395,5178
13.709,4586,6393,3301,5158
13.728,4661,6473,3421,5171
13.759,4578,6427,3453,5221
13.789,4572,6361,3366,5180
13.833,4681,6421,3462,5166
13.878,4603,6435,3578,5190
13.909,4515,6378,3472,5189
13.939,4597,6409,3449,5135
13.969,4630,6481,3496,5173
13.999,4532,6420,3462,5194
14.031,4583,6396,3337,5168
14.060,4687,6445,3429,5168
14.090,4594,6425,3490,5223
14.120,4564,6348,3422,5181
14.179,4638,6409,3446,5143
14.209,4604,6424,3581,5181
14.239,4507,6398,3479,5196
14.270,4586,6403,3422,5139
14.329,4615,6485,3496,5176
14.329,4547,6424,3484,5214
14.389,4576,6392,3359,5174
14.429,4685,6431,3452,5168
14.448,4602,6429,3519,5202
14.479,4575,6351,3439,5184
14.509,4634,6412,3435,5133
14.539,4607,6450,3555,5176
14.569,4494,6408,3462,5189
14.601,4580,6407,3370,5153
14.630,4628,6486,3466,5175
14.721,4561,6423,3480,5214
14.721,4573,6371,3381,5182
14.752,4703,6420,3456,5189
14.779,4602,6434,3573,5197
14.810,4547,6362,3459,5185
14.838,4605,6412,3444,5134
14.869,4617,6473,3529,5176
14.928,4497,6416,3477,5197
14.966,4580,6395,3368,5167
14.988,4662,6444,3463,5171
15.022,4591,6420,3493,5223
15.048,4570,6345,3416,5185
15.079,4668,6413,3459,5166
15.108,4599,6429,3576,5189
15.138,4502,6376,3474,5188
15.198,4591,6407,3448,5125
15.228,4615,6475,3511,5177
15.261,4541,6428,3492,5211
15.288,4579,6398,3356,5169
15.318,4684,6442,3469,5168
15.348,4596,6424,3511,5221
15.380,4566,6350,3445,5181
15.440,4636,6404,3458,5154
15.471,4604,6429,3588,5183
15.500,4499,6401,3479,5188
15.529,4592,6403,3417,5145
15.559,4618,6483,3493,5179
15.589,4558,6417,3492,5218
15.630,4578,6383,3369,5178
15.679,4585,6396,3377,5170
15.709,4678,6459,3469,5173
15.740,4604,6425,3509,5222
15.782,4567,6350,3426,5185
15.800,4656,6412,3455,5158
15.830,4602,6433,3589,5189
15.860,4495,6386,3476,5188
15.920,4590,6404,3438,5149
15.950,4617,6484,3508,5176
16.009,4538,6422,3493,5226
16.009,4581,6396,3354,5175
16.038,4681,6440,3468,5169
16.069,4599,6424,3526,5219
16.099,4569,6343,3446,5182
16.129,4632,6407,3448,5139
16.189,4607,6438,3575,5183
16.229,4492,6401,3475,5191
16.248,4587,6402,3371,5160
16.278,4612,6486,3490,5176
16.309,4565,6422,3494,5224
16.340,4576,6378,3344,5183
16.371,4695,6429,3471,5168
16.429,4608,6433,3573,5216
16.462,4560,6357,3467,5191
16.491,4599,6409,3443,5143
16.520,4625,6473,3545,5187
16.551,4495,6408,3476,5190
16.580,4584,6397,3373,5164
16.610,4649,6464,3471,5174
16.640,4581,6419,3491,5226
16.700,4572,6343,3413,5185
16.729,4677,6411,3457,5172
16.761,4613,6431,3566,5189
16.791,4513,6370,3375,5186
16.825,4597,6406,3416,5135
16.850,4618,6478,3511,5175
16.895,4526,6407,3498,5199
16.939,4584,6382,3384,5185
16.970,4691,6432,3484,5176
17.000,4589,6407,3530,5225
17.032,4577,6299,3449,5183
17.060,4643,6311,3473,5156
17.090,4604,6330,3603,5190
17.150,4502,6343,3497,5190
17.150,4588,6360,3445,5142
17.210,4620,6267,3520,5178
17.238,4555,6331,3510,5226
17.270,4585,6276,3393,5183
17.301,4689,6328,3480,5169
17.339,4605,6189,3549,5213
17.360,4571,6339,3458,5182
17.390,4630,6405,3461,5136
17.448,4609,6439,3575,5193
17.479,4494,6404,3473,5195
17.509,4579,6394,3370,5160
17.539,4636,6478,3481,5175
17.569,4569,6422,3492,5221
17.599,4578,6376,3387,5181
17.631,4701,6445,3462,5171
17.689,4694,6458,3466,5180
17.719,4605,6436,3518,5227
17.749,4581,6355,3438,5183
17.780,4639,6416,3446,5144
17.810,4612,6439,3574,5183
17.840,4494,6404,3442,5190
17.870,4587,6417,3376,5144
17.931,4619,6500,3464,5177
17.960,4557,6436,3466,5231
17.990,4591,6394,3357,5179
18.032,4696,6441,3448,5169
18.050,4609,6444,3533,5207
18.081,4568,6367,3434,5184
18.111,4614,6425,3425,5136
18.170,4617,6475,3529,5181
18.201,4505,6425,3451,5191
18.230,4589,6416,3338,5184
18.260,4653,6489,3449,5176
18.289,4582,6434,3464,5228
18.319,4575,6371,3371,5182
18.379,4691,6425,3429,5170
18.379,4608,6448,3532,5199
18.438,4533,6384,3435,5187
18.469,4606,6425,3290,5140
18.502,4626,6495,3423,5177
18.530,4518,6434,3404,5195
18.561,4590,6417,3279,5169
18.590,4684,6467,3385,5172
18.631,4591,6442,3446,5227
18.680,4572,6375,3375,5196
18.710,4663,6432,3412,5152
18.741,4612,6458,3535,5185
18.770,4512,6406,3414,5190
18.801,4591,6427,3405,5139
18.831,4624,6504,3521,5178
18.860,4553,6439,3505,5213
18.890,4583,6417,3371,5178
18.950,4685,6461,3407,5171
18.979,4604,6439,3561,5210
19.010,4569,6360,3462,5184
19.040,4639,6422,3456,5139
19.070,4611,6457,3473,5182
19.099,4501,6421,3485,5192
19.130,4580,6417,3408,5155
19.191,4623,6499,3373,5178
19.232,4570,6435,3510,5228
19.251,4586,6396,3403,5182
19.280,4713,6440,3477,5171
19.311,4612,6447,3462,5203
19.341,4560,6369,3464,5188
19.370,4612,6422,3446,5140
19.406,4621,6485,3480,5180
19.461,4502,6421,3488,5193
19.489,4591,6406,3376,5166
19.520,4669,6471,3484,5175
19.550,4594,6437,3502,5228
19.609,4571,6365,3413,5187
19.609,4685,6428,3472,5169
19.640,4606,6451,3406,5195
19.699,4608,6446,3416,5210
19.729,4573,6371,3381,5186
19.759,4640,6427,3371,5140
19.789,4617,6469,3488,5185
19.830,4497,6423,3411,5195
19.848,4586,6413,3296,5163
19.879,4630,6486,3391,5179
19.938,4569,6432,3528,5227
19.969,4578,6377,3434,5188
19.999,4703,6437,3492,5183
20.031,4608,6443,3598,5202
20.058,4545,6373,3489,5188
20.089,4612,6423,3468,5136
