# Ghost Glove BLE Inter-Arrival Time Log
# arrival_ms       = ms since recording started (browser clock)
# esp_timestamp_ms = ms since BLE connect (ESP32 clock)
# interarrival_ms  = time between consecutive packet arrivals (blank for first packet)
# target: 20 ms (50 Hz)
seq,arrival_ms,esp_timestamp_ms,interarrival_ms
0,55,59014,
1,86,59048,31.00
2,115,59082,29.00
3,147,59115,32.00
4,175,59149,28.00
5,206,59183,31.00
6,236,59217,30.00
7,295,59251,59.00
8,326,59286,31.00
9,355,59320,29.00
10,385,59354,30.00
11,417,59388,32.00
12,445,59422,28.00
13,475,59456,30.00
14,505,59490,30.00
15,565,59524,60.00
16,596,59558,31.00
17,626,59592,30.00
18,685,59625,59.00
19,686,59659,1.00
20,716,59694,30.00
21,745,59727,29.00
22,806,59762,61.00
23,895,59796,89.00
24,896,59829,1.00
25,897,59863,1.00
26,925,59897,28.00
27,955,59931,30.00
28,986,59966,31.00
29,1016,60000,30.00
30,1105,60034,89.00
31,1106,60068,1.00
32,1135,60102,29.00
33,1165,60135,30.00
34,1195,60170,30.00
35,1224,60203,29.00
36,1255,60237,31.00
37,1320,60272,65.00
38,1345,60306,25.00
39,1378,60340,33.00
40,1408,60374,30.00
41,1437,60407,29.00
42,1467,60441,30.00
43,1498,60475,31.00
44,1528,60509,30.00
45,1588,60544,60.00
46,1618,60578,30.00
47,1648,60612,30.00
48,1678,60645,30.00
49,1708,60679,30.00
50,1738,60713,30.00
51,1796,60747,58.00
52,1797,60782,1.00
53,1855,60815,58.00
54,1885,60850,30.00
55,1915,60884,30.00
56,1945,60917,30.00
57,1976,60956,31.00
58,2035,60990,59.00
59,2065,61025,30.00
60,2098,61059,33.00
61,2126,61093,28.00
62,2155,61126,29.00
63,2186,61160,31.00
64,2217,61194,31.00
65,2245,61228,28.00
66,2336,61263,91.00
67,2356,61297,20.00
68,2367,61331,11.00
69,2398,61365,31.00
70,2427,61398,29.00
71,2458,61432,31.00
72,2488,61466,30.00
73,2519,61500,31.00
74,2575,61535,56.00
75,2637,61569,62.00
76,2637,61602,0.00
77,2668,61637,31.00
78,2698,61671,30.00
79,2728,61704,30.00
80,2756,61738,28.00
81,2816,61773,60.00
82,2846,61807,30.00
83,2875,61841,29.00
