Position,Finger,N,Mean,Std Dev,Min,Max,Range,Median
Flat,Ring,1760,5134.7,49.8,5010,5258,248,5136.0
Flat,Middle,1760,9415.9,125.1,8706,9629,923,9432.0
Flat,Index,1760,4994.6,79.4,4636,5165,529,5007.0
Flat,Thumb,1760,8542.1,37.4,8412,8627,215,8548.0
50 mm,Ring,1759,4700.9,81.3,4498,4875,377,4700.0
50 mm,Middle,1759,6741.4,124.2,6188,6972,784,6771.0
50 mm,Index,1759,3858.8,115.7,3440,4107,667,3863.0
50 mm,Thumb,1759,6315.8,81.0,6038,6493,455,6328.0
40 mm,Ring,1760,4690.8,81.3,4494,4885,391,4690.0
40 mm,Middle,1760,6634.6,229.7,5912,6998,1086,6688.0
40 mm,Index,1760,3772.0,122.9,3351,4060,709,3777.0
40 mm,Thumb,1760,6593.4,69.5,6383,6757,374,6595.0
30 mm,Ring,1759,4674.8,93.6,4456,4865,409,4678.0
30 mm,Middle,1759,6099.4,341.3,5022,6628,1606,6093.0
30 mm,Index,1759,3521.6,127.1,3171,3877,706,3511.0
30 mm,Thumb,1759,6368.9,154.0,6117,6594,477,6311.0
20 mm,Ring,1760,4727.9,80.0,4565,4945,380,4725.0
20 mm,Middle,1760,6679.1,103.6,6314,6953,639,6679.0
20 mm,Index,1760,3617.7,102.1,3349,3849,500,3629.5
20 mm,Thumb,1760,6423.6,148.1,6119,6663,544,6412.0
Fist,Ring,1761,4552.2,67.1,4381,4713,332,4552.0
Fist,Middle,1761,6310.2,140.0,5736,6549,813,6348.0
Fist,Index,1761,3436.7,82.1,3112,3646,534,3445.0
Fist,Thumb,1761,5102.4,83.2,4904,5251,347,5124.0
